zone                   , custom_month_start-end, custom_hour_start-end, cdiSensorFraction, ilum-custom-mean   , CDI-custom, custom-sCDI-0lx, custom-sCDI-50lx, custom-sCDI-100lx, custom-sCDI-200lx, custom-sCDI-300lx, custom-sCDI-500lx, custom-sCDI-750lx, custom-sCDI-1000lx, custom-sCDI-2000lx, ilum-mean            , CDI , sCDI-0lx, sCDI-50lx, sCDI-100lx, sCDI-200lx, sCDI-300lx, sCDI-500lx, sCDI-750lx, sCDI-1000lx, sCDI-2000lx
01_15_02_03_04_06-0-1  , 4 - 8                 , 3 - 10               ,               0.5,  376.3205          ,        300,             0.0,              0.0,              12.5,              25.0,              42.5,              20.0,               0.0,                0.0,                0.0,  239.3359375         ,  200,    19.44,      9.72,      18.06,      15.97,      26.39,      10.42,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-11 , 4 - 8                 , 3 - 10               ,               0.5,  125.358575        ,        100,            10.0,             27.5,              57.5,               5.0,               0.0,               0.0,               0.0,                0.0,                0.0,   88.99183472222222  ,   50,    35.42,     24.31,      35.42,       4.86,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-12 , 4 - 8                 , 3 - 10               ,               0.5,  132.90342500000003,        100,             0.0,             15.0,              85.0,               0.0,               0.0,               0.0,               0.0,                0.0,                0.0,   83.106290625       ,   50,    33.33,     24.31,      42.36,       0.0 ,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-13 , 4 - 8                 , 3 - 10               ,               0.5, 2292.62875         ,       2000,             0.0,              0.0,               0.0,               0.0,               0.0,               0.0,               0.0,               37.5,               62.5, 1385.6946180555558   , 1000,     0.0 ,      0.0 ,       6.94,       6.94,       6.25,       9.72,       4.86,       38.89,       26.39
01_15_02_03_04_06-0-2  , 4 - 8                 , 3 - 10               ,               0.5,  101.534625        ,        100,            15.0,             35.0,              50.0,               0.0,               0.0,               0.0,               0.0,                0.0,                0.0,   70.34906388888889  ,   50,    49.31,     21.53,      27.78,       1.39,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-3  , 4 - 8                 , 3 - 10               ,               0.5, 2158.1985          ,       2000,             0.0,              0.0,               0.0,               0.0,               0.0,               0.0,               0.0,               22.5,               77.5, 1279.8643715277778   , 1000,     0.0 ,      0.0 ,      15.97,       0.69,       6.94,      11.81,       5.56,       27.78,       31.25
01_15_02_03_04_06-0-4  , 4 - 8                 , 3 - 10               ,               0.5,  314.92524999999995,        300,             0.0,              0.0,              20.0,              30.0,              50.0,               0.0,               0.0,                0.0,                0.0,  223.02525694444446  ,  100,    18.75,      9.03,      27.08,      17.36,      20.14,       7.64,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-5  , 4 - 8                 , 3 - 10               ,               0.5, 2073.65875         ,       2000,             0.0,              0.0,               0.0,               0.0,               0.0,               0.0,               0.0,               32.5,               67.5, 1179.6138125         , 1000,     0.0 ,      0.69,      15.97,       0.69,       4.86,      13.89,       9.72,       31.94,       22.22
01_15_02_03_04_06-0-6  , 4 - 8                 , 3 - 10               ,               0.5,   67.54568750000001,         50,            30.0,             52.5,              17.5,               0.0,               0.0,               0.0,               0.0,                0.0,                0.0,   37.515015625       ,    0,    68.75,     25.69,       5.56,       0.0 ,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-7  , 4 - 8                 , 3 - 10               ,               0.5,    2.4797325       ,          0,           100.0,              0.0,               0.0,               0.0,               0.0,               0.0,               0.0,                0.0,                0.0,    1.4568795451388887,    0,   100.0 ,      0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-8  , 4 - 8                 , 3 - 10               ,               0.5,  437.657           ,        500,             0.0,              0.0,               0.0,              12.5,              32.5,              35.0,              20.0,                0.0,                0.0,  249.4068923611111   ,  200,    11.11,      9.72,      18.06,      18.75,      22.22,      13.89,       6.25,        0.0 ,        0.0
01_15_02_03_04_06-0-9  , 4 - 8                 , 3 - 10               ,               0.5,  244.23900000000003,        200,             0.0,              0.0,              12.5,              72.5,              15.0,               0.0,               0.0,                0.0,                0.0,  150.63397222222224  ,  100,    16.67,     13.89,      31.25,      31.94,       6.25,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-0-9_2, 4 - 8                 , 3 - 10               ,               0.5,   45.8980375       ,          0,            55.0,             42.5,               2.5,               0.0,               0.0,               0.0,               0.0,                0.0,                0.0,   25.756983680555557 ,    0,    85.42,     13.89,       0.69,       0.0 ,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
01_15_02_03_04_06-1-11 , 4 - 8                 , 3 - 10               ,               0.5,   64.234475        ,         50,            25.0,             62.5,              12.5,               0.0,               0.0,               0.0,               0.0,                0.0,                0.0,   35.93494652777778  ,    0,    68.06,     28.47,       3.47,       0.0 ,       0.0 ,       0.0 ,       0.0 ,        0.0 ,        0.0
