ID,custom_month_start-end,custom_hour_start-end,cdiSensorFraction,CDI-CUSTOM,custom-sCDI-0lx,custom-sCDI-50lx,custom-sCDI-100lx,custom-sCDI-200lx,custom-sCDI-300lx,custom-sCDI-500lx,custom-sCDI-750lx,custom-sCDI-1000lx,custom-sCDI-2000lx,CDI,sCDI-0lx,sCDI-50lx,sCDI-100lx,sCDI-200lx,sCDI-300lx,sCDI-500lx,sCDI-750lx,sCDI-1000lx,sCDI-2000lx
01_15_02_03_04_06-0-1,1 - 12,3 - 10,0.5,200,0.0,16.67,32.29,16.67,33.33,1.04,0.0,0.0,0.0,100,28.47,15.97,21.53,11.11,22.22,0.69,0.0,0.0,0.0
01_15_02_03_04_06-0-11,1 - 12,3 - 10,0.5,100,9.38,30.21,59.38,1.04,0.0,0.0,0.0,0.0,0.0,50,31.94,27.78,39.58,0.69,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-12,1 - 12,3 - 10,0.5,50,37.5,58.33,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0,55.56,41.67,2.78,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-13,1 - 12,3 - 10,0.5,1000,0.0,0.0,0.0,0.0,0.0,2.08,4.17,52.08,41.67,1000,0.0,0.0,4.17,7.64,6.94,9.03,4.86,39.58,27.78
01_15_02_03_04_06-0-2,1 - 12,3 - 10,0.5,50,35.42,30.21,34.38,0.0,0.0,0.0,0.0,0.0,0.0,0,56.94,20.14,22.92,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-3,1 - 12,3 - 10,0.5,1000,2.08,0.0,0.0,0.0,3.12,7.29,16.67,60.42,10.42,750,1.39,7.64,9.03,4.17,12.5,6.94,11.11,40.28,6.94
01_15_02_03_04_06-0-4,1 - 12,3 - 10,0.5,200,0.0,11.46,37.5,20.83,30.21,0.0,0.0,0.0,0.0,100,20.14,15.97,29.86,13.89,20.14,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-5,1 - 12,3 - 10,0.5,1000,0.0,0.0,0.0,0.0,0.0,12.5,16.67,61.46,9.38,750,0.0,0.0,12.5,4.86,4.86,18.06,12.5,40.97,6.25
01_15_02_03_04_06-0-6,1 - 12,3 - 10,0.5,0,71.88,27.08,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0,80.56,18.75,0.69,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-7,1 - 12,3 - 10,0.5,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-8,1 - 12,3 - 10,0.5,200,0.0,3.12,40.62,22.92,25.0,8.33,0.0,0.0,0.0,100,15.97,12.5,29.17,16.67,19.44,6.25,0.0,0.0,0.0
01_15_02_03_04_06-0-9,1 - 12,3 - 10,0.5,100,0.0,33.33,54.17,12.5,0.0,0.0,0.0,0.0,0.0,50,21.53,30.56,38.19,9.72,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-9_2,1 - 12,3 - 10,0.5,0,89.58,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.06,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-1-11,1 - 12,3 - 10,0.5,0,98.96,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,custom_month_start-end,custom_hour_start-end,cdiSensorFraction,CDI-CUSTOM,custom-sCDI-0lx,custom-sCDI-50lx,custom-sCDI-100lx,custom-sCDI-200lx,custom-sCDI-300lx,custom-sCDI-500lx,custom-sCDI-750lx,custom-sCDI-1000lx,custom-sCDI-2000lx,CDI,sCDI-0lx,sCDI-50lx,sCDI-100lx,sCDI-200lx,sCDI-300lx,sCDI-500lx,sCDI-750lx,sCDI-1000lx,sCDI-2000lx
01_15_02_03_04_06-0-1,1 - 12,3 - 10,0.5,200,0.0,16.67,32.29,16.67,33.33,1.04,0.0,0.0,0.0,100,28.47,15.97,21.53,11.11,22.22,0.69,0.0,0.0,0.0
01_15_02_03_04_06-0-11,1 - 12,3 - 10,0.5,100,9.38,30.21,59.38,1.04,0.0,0.0,0.0,0.0,0.0,50,31.94,27.78,39.58,0.69,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-12,1 - 12,3 - 10,0.5,50,37.5,58.33,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0,55.56,41.67,2.78,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-13,1 - 12,3 - 10,0.5,1000,0.0,0.0,0.0,0.0,0.0,2.08,4.17,52.08,41.67,1000,0.0,0.0,4.17,7.64,6.94,9.03,4.86,39.58,27.78
01_15_02_03_04_06-0-2,1 - 12,3 - 10,0.5,50,34.38,30.21,35.42,0.0,0.0,0.0,0.0,0.0,0.0,0,56.25,20.14,23.61,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-3,1 - 12,3 - 10,0.5,1000,0.0,0.0,0.0,0.0,3.12,7.29,16.67,62.5,10.42,750,0.0,7.64,9.03,4.17,12.5,6.94,11.11,41.67,6.94
01_15_02_03_04_06-0-4,1 - 12,3 - 10,0.5,200,0.0,11.46,37.5,20.83,30.21,0.0,0.0,0.0,0.0,100,20.14,15.97,29.86,13.89,20.14,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-5,1 - 12,3 - 10,0.5,1000,0.0,0.0,0.0,0.0,0.0,12.5,16.67,61.46,9.38,750,0.0,0.0,12.5,4.86,4.86,18.06,12.5,40.97,6.25
01_15_02_03_04_06-0-6,1 - 12,3 - 10,0.5,0,71.88,27.08,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0,80.56,18.75,0.69,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-7,1 - 12,3 - 10,0.5,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-8,1 - 12,3 - 10,0.5,200,0.0,3.12,40.62,22.92,25.0,8.33,0.0,0.0,0.0,100,15.97,12.5,29.17,16.67,19.44,6.25,0.0,0.0,0.0
01_15_02_03_04_06-0-9,1 - 12,3 - 10,0.5,100,0.0,33.33,54.17,12.5,0.0,0.0,0.0,0.0,0.0,50,21.53,30.56,38.19,9.72,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-0-9_2,1 - 12,3 - 10,0.5,0,89.58,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.06,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_15_02_03_04_06-1-11,1 - 12,3 - 10,0.5,0,98.96,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
